,State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
307,Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,MANIPUR,183998,70148,59681,94.0,71.0
308,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,MEGHALAYA,317917,102513,89634,97.0,60.0
309,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,MEGHALAYA,825922,287270,290760,101.0,70.0
310,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,MEGHALAYA,395124,87371,100156,101.0,47.0
311,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,MEGHALAYA,142334,45003,37059,95.0,58.0
312,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,MEGHALAYA,643291,193438,165264,98.0,56.0
313,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,MEGHALAYA,383461,117307,113371,98.0,60.0
314,Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,MIZORAM,400309,169547,171048,101.0,85.0
315,Mizoram,Champhai,23.54166580976866,93.24221799485862,284,MIZORAM,125745,51440,49362,98.0,80.0
316,Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,MIZORAM,83955,34147,31748,96.0,78.0
317,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,MIZORAM,117894,36444,26417,95.0,53.0
318,Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,MIZORAM,161428,64515,56607,95.0,75.0
319,Mizoram,Mamit,23.73852942502819,92.4330803833147,281,MIZORAM,86364,32977,27214,93.0,70.0
320,Mizoram,Saiha,22.35744801061008,93.02827931034489,288,MIZORAM,56574,21861,20372,98.0,75.0
321,Mizoram,Serchhip,23.263864705882344,92.914158496732,285,MIZORAM,64937,27598,26878,98.0,84.0
322,Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,NAGALAND,378811,150142,127895,92.0,73.0
323,Nagaland,Kohima,25.60311428571428,93.78600657596373,270,NAGALAND,267988,107038,90451,93.0,74.0
324,Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,NAGALAND,194622,83479,76015,93.0,82.0
325,Nagaland,Mon,26.69207374301676,95.03072988826828,261,NAGALAND,250260,67432,52194,90.0,48.0
326,Nagaland,Phek,25.63272986577182,94.56814563758392,266,NAGALAND,163418,57926,47967,95.0,65.0
